name,combo
Maxwell,6-3-9
Minnie,5-5-1
Obie,2-2-4
Octave,3-9-3
Orrin,6-5-2
Ossie,2-2-4
Oswald,7-4-2
Park,1-9-1
Parley,6-8-5
Ramon,7-9-7
Rice,5-3-8
Stonewall,3-1-4
Theo,2-1-3
Tillman,1-8-9
Addie,6-8-5
Aron,7-5-3
Ashley,6-1-7
Bernhard,6-1-7
Bertie,1-4-5
Berton,2-9-2
Buster,8-5-4
Butler,8-7-6
Carleton,3-4-7
Carrie,6-3-9
Clara,2-6-8
Clarance,7-5-3
Clare,6-6-3
Crawford,7-9-7
Danial,2-3-5
Dayton,7-2-9
Dolphus,9-5-5
Elder,1-7-8
Ephriam,6-1-7
Fayette,2-8-1
Felipe,1-7-8
Fernando,3-2-5
Flem,5-4-9
Florence,7-8-6
Ford,6-1-7
Harlan,2-7-9
Hayes,6-7-4
Henery,1-2-3
Hoy,6-6-3
Huston,9-7-7
Ida,1-4-5
Ivory,6-2-8
Jonah,7-5-3
Justin,3-9-3
Lenard,6-3-9
Leopold,8-8-7
Lionel,2-2-4
Manley,6-1-7
Marquis,4-4-8
Marshal,2-7-9
Mart,1-6-7
Odie,2-4-6
Olen,2-8-1
Oral,7-3-1
Orley,2-1-3
Otha,7-1-8
Press,5-9-5
Price,5-1-6
Quincy,3-5-8
Randall,2-6-8
Rich,9-2-2
Richmond,6-6-3
Romeo,8-4-3
Russel,8-5-4
Rutherford,5-2-7
Shade,6-4-1
Shelby,5-3-8
Solon,3-9-3
Thurman,4-1-5
Tilden,5-5-1
Troy,6-9-6
Woodson,9-6-6
Worth,6-6-3
Aden,6-9-6
Alcide,6-1-7
Alf,1-9-1
Algie,6-1-7
Arlie,6-3-9
Bart,1-4-5
Bedford,2-7-9
Benito,2-9-2
Billy,9-6-6
Bird,9-6-6
Birt,9-4-4
Bruno,9-7-7
Burley,8-3-2
Chancy,1-8-9
Claus,4-7-2
Cliff,9-9-9
Clovis,6-2-8
Connie,2-4-6
Creed,1-7-8
Delos,2-8-1
Duke,8-6-5
Eber,1-2-3
Eligah,6-9-6
Elliot,2-8-1
Elton,2-1-3
Emmitt,5-3-8
Gene,1-3-4
Golden,2-1-3
Hal,1-2-3
Hardin,1-8-9
Harman,2-8-1
Hervey,1-1-2
Hollis,6-6-3
Ivey,5-2-7
Jennie,1-2-3
Len,5-8-4
Lindsay,1-2-3
Lonie,2-8-1
Lyle,5-4-9
Mac,1-7-8
Mal,1-7-8
Math,1-5-6
Miller,5-1-6
Orson,3-6-9
Osborne,8-8-7
Percival,6-8-5
Pleas,6-2-8
Ples,5-2-7
Rafael,7-9-7
Raoul,1-3-4
Roderick,2-9-2
Rose,2-1-3
Shelton,2-1-3
Sid,9-5-5
Theron,2-6-8
Tobias,7-5-3
Toney,2-5-7
Tyler,5-3-8
Vance,6-3-9
Vivian,1-4-5
Walton,7-6-4
Watt,1-9-1
