name,combo
SMALL,1-2-3
WU,3-5-8
ZAMORA,8-3-2
MACDONALD,8-5-4
VANCE,6-3-9
SNOW,6-2-8
MCCLAIN,1-9-1
STAFFORD,7-1-8
OROZCO,9-2-2
BARRY,1-9-1
ENGLISH,5-6-2
SHANNON,7-6-4
KLINE,5-1-6
JACOBSON,4-3-7
WOODARD,4-4-8
HUANG,4-2-6
KEMP,5-4-9
MOSLEY,2-6-8
PRINCE,5-6-2
MERRITT,5-8-4
HURST,3-2-5
VILLANUEVA,1-1-2
ROACH,7-2-9
NOLAN,7-4-2
LAM,1-7-8
YODER,2-2-4
MCCULLOUGH,3-4-7
LESTER,1-6-7
SANTANA,3-4-7
VALENZUELA,6-5-2
WINTERS,5-4-9
BARRERA,7-2-9
LEACH,6-5-2
ORR,6-9-6
BERGER,1-9-1
MCKEE,1-9-1
STRONG,6-6-3
CONWAY,7-4-2
STEIN,5-8-4
WHITEHEAD,2-9-2
BULLOCK,9-4-4
ESCOBAR,3-6-9
KNOX,6-4-1
MEADOWS,3-5-8
SOLOMON,9-4-4
VELEZ,1-6-7
ODONNELL,8-2-1
KERR,5-2-7
STOUT,9-5-5
BLANKENSHIP,6-6-3
BROWNING,6-6-3
KENT,5-9-5
LOZANO,4-7-2
BARTLETT,6-2-8
PRUITT,3-2-5
BUCK,3-7-1
BARR,1-2-3
GAINES,6-4-1
DURHAM,4-7-2
GENTRY,5-3-8
MCINTYRE,5-3-8
SLOAN,7-9-7
ROCHA,7-2-9
MELENDEZ,6-6-3
HERMAN,6-8-5
SEXTON,2-5-7
MOON,3-9-3
HENDRICKS,5-5-1
RANGEL,6-6-3
STARK,1-5-6
LOWERY,2-6-8
HARDIN,1-8-9
HULL,3-5-8
SELLERS,1-8-9
ELLISON,2-3-5
CALHOUN,1-1-2
GILLESPIE,1-3-4
MORA,7-4-2
KNAPP,1-3-4
MCCALL,1-7-8
MORSE,2-5-7
DORSEY,2-3-5
WEEKS,1-8-9
NIELSEN,1-5-6
LIVINGSTON,6-9-6
LEBLANC,6-7-4
MCLEAN,6-6-3
BRADSHAW,2-2-4
GLASS,1-3-4
MIDDLETON,2-4-6
BUCKLEY,8-8-7
SCHAEFER,2-9-2
FROST,6-9-6
HOWE,2-4-6
HOUSE,5-9-5
MCINTOSH,6-5-2
HO,6-8-5
PENNINGTON,2-9-2
REILLY,5-4-9
HEBERT,1-3-4
MCFARLAND,2-7-9
HICKMAN,1-4-5
NOBLE,2-1-3
SPEARS,6-9-6
CONRAD,7-3-1
ARIAS,2-1-3
GALVAN,2-1-3
VELAZQUEZ,5-4-9
HUYNH,3-1-4
FREDERICK,1-6-7
RANDOLPH,7-9-7
CANTU,4-1-5
FITZPATRICK,1-3-4
MAHONEY,3-6-9
PECK,5-3-8
VILLA,1-1-2
MICHAEL,6-9-6
DONOVAN,4-9-4
MCCONNELL,2-8-1
WALLS,1-3-4
BOYLE,2-3-5
MAYER,6-2-8
ZUNIGA,4-2-6
GILES,5-2-7
PINEDA,6-7-4
PACE,6-1-7
HURLEY,8-9-8
